Style,Category,Artist,Title,Image URL,Art (image+title): agreeableness,Art (image+title): anger,Art (image+title): anticipation,Art (image+title): arrogance,Art (image+title): disagreeableness,Art (image+title): disgust,Art (image+title): fear,Art (image+title): gratitude,Art (image+title): happiness,Art (image+title): humility,Art (image+title): love,Art (image+title): optimism,Art (image+title): pessimism,Art (image+title): regret,Art (image+title): sadness,Art (image+title): shame,Art (image+title): shyness,Art (image+title): surprise,Art (image+title): trust,Art (image+title): neutral,ImageOnly: agreeableness,ImageOnly: anger,ImageOnly: anticipation,ImageOnly: arrogance,ImageOnly: disagreeableness,ImageOnly: disgust,ImageOnly: fear,ImageOnly: gratitude,ImageOnly: happiness,ImageOnly: humility,ImageOnly: love,ImageOnly: optimism,ImageOnly: pessimism,ImageOnly: regret,ImageOnly: sadness,ImageOnly: shame,ImageOnly: shyness,ImageOnly: surprise,ImageOnly: trust,ImageOnly: neutral,TitleOnly: agreeableness,TitleOnly: anger,TitleOnly: anticipation,TitleOnly: arrogance,TitleOnly: disagreeableness,TitleOnly: disgust,TitleOnly: fear,TitleOnly: gratitude,TitleOnly: happiness,TitleOnly: humility,TitleOnly: love,TitleOnly: optimism,TitleOnly: pessimism,TitleOnly: regret,TitleOnly: sadness,TitleOnly: shame,TitleOnly: shyness,TitleOnly: surprise,TitleOnly: trust,TitleOnly: neutral
Modern Art,Abstract Art,Otto Freundlich,Composition,https://uploads5.wikiart.org/images/victor-brauner/visage-1941.jpg,0,0,0.3,0,0.1,0,0,0,0.4,0.1,0.1,0.3,0,0,0,0,0,0.4,0.1,0,0,0,0.4,0,0,0,0,0,0.3,0,0,0.3,0,0,0,0,0,0.6,0.1,0,0,0,0.3,0,0,0.1,0,0,0.3,0.1,0,0.1,0,0,0,0,0,0.1,0,0.3
Modern Art,Magic Realism,Eyvind Earle,Black Silken Hair,https://uploads3.wikiart.org/images/herbert-zangs/gro-e-kn-pfung-1953.jpg,0,0,0.083,0.083,0,0,0,0,0.75,0.417,0.5,0.083,0,0,0.083,0,0,0,0.25,0,0,0,0.083,0,0,0,0,0.083,0.75,0.417,0.5,0.083,0.083,0.083,0,0,0,0.083,0.083,0,0,0,0.083,0.083,0,0.083,0.083,0,0.5,0.333,0.083,0,0,0.083,0,0,0,0.083,0,0
Modern Art,Art Informel,Leo Leuppi,Muschel-V&#246;gel,https://uploads4.wikiart.org/00148/images/il-sodoma/the-rape-of-the-sabine-women-1507.jpg,0,0,0.1,0,0,0.2,0,0,0.1,0.2,0,0.1,0,0,0,0,0,0.3,0,0.1,0,0,0.2,0,0,0.2,0,0,0.1,0.2,0,0.1,0,0,0,0,0,0.3,0,0.1,0,0,0.667,0,0,0,0,0,0.167,0,0,0,0,0,0,0,0,0.167,0,0
Modern Art,Lyrical Abstraction,Chu Teh-Chun,&#201;clair d&#39;obscurite,https://uploads0.wikiart.org/images/august-macke/view-of-tegernsee.jpg,0,0,0.462,0.077,0,0.154,0,0,0.077,0,0,0,0,0,0,0,0,0.615,0,0.077,0,0.077,0.385,0,0,0.077,0.077,0,0.077,0,0,0,0.077,0,0.077,0,0.077,0.615,0,0,0,0,0.333,0,0,0,0.167,0,0.083,0,0,0.083,0.083,0,0,0,0,0.333,0.083,0.083
Post Renaissance Art,Neoclassicism,Antonio Canova,Perseus with the Head of Medusa,https://uploads6.wikiart.org/images/fred-sandback/untitled-1968.jpg,0,0.3,0.1,0.2,0,0.5,0.3,0,0.2,0,0,0.3,0,0,0,0.1,0,0,0.2,0,0,0.2,0.1,0.2,0,0.3,0.3,0,0.2,0,0,0.1,0.1,0,0,0.1,0.1,0,0.4,0,0.1,0.3,0.1,0.2,0,0.5,0.3,0,0,0,0.1,0.2,0,0,0,0.1,0,0,0.3,0
Renaissance Art,Northern Renaissance,Jan van Eyck,Portrait of Giovanni Arnolfini,https://uploads6.wikiart.org/images/nicolas-de-sta-l/marseille-sous-la-neige-1954.jpg,0.091,0.091,0.091,0.455,0,0.091,0,0,0.091,0.182,0,0.091,0.091,0,0,0,0.091,0.091,0.455,0,0.091,0,0.182,0.364,0.091,0,0,0,0.091,0.182,0.091,0.364,0,0,0,0,0,0.091,0.545,0,0.091,0,0.273,0,0,0,0,0,0.091,0.091,0,0,0,0,0,0,0,0.091,0.455,0.364
Post Renaissance Art,Realism,Camille Corot,Temple of Minerva Medica,https://uploads3.wikiart.org/images/francisco-pacheco/the-supper-with-christ-and-the-angels-1615.jpg,0,0,0.091,0,0,0,0,0.091,0.273,0.545,0,0,0,0,0.091,0,0,0.091,0.182,0,0,0,0.091,0,0,0,0,0.091,0.182,0.364,0.091,0,0.182,0,0.091,0,0,0.182,0.182,0,0,0,0.364,0,0,0,0,0.091,0.182,0.091,0.091,0,0,0,0.091,0,0.091,0.091,0.364,0
Renaissance Art,Northern Renaissance,Jean Fouquet,Coronation of Philippe Auguste,https://uploads7.wikiart.org/images/kazuo-shiraga/fluid-red-1968.jpg,0,0,0,0.2,0,0.1,0,0.3,0,0.2,0,0.2,0.1,0,0,0,0,0,0.7,0,0,0,0,0.2,0,0,0,0.2,0,0.2,0,0.2,0.1,0,0,0,0,0,0.6,0,0,0,0,0.3,0,0.1,0,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0.7,0
Post Renaissance Art,Baroque,Agostino Carracci,Democritus,https://uploads8.wikiart.org/images/marie-bracquemond/three-ladies-with-parasol-aka-three-graces-1880.jpg,0.1,0,0,0.2,0.1,0,0,0.1,0.7,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0,0.1,0.8,0,0.1,0.1,0,0,0,0,0,0,0.4,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0.2,0,0,0,0,0,0,0.4,0.1
Modern Art,Cubism,F&#233;lix Del Marle,The Port,https://uploads3.wikiart.org/images/thomas-gainsborough/seashore-with-fishermen-1781(1).jpg,0,0,0.2,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0.1,0.2,0,0,0.2,0.2,0,0.1,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0.3,0,0,0.2,0.1,0,0.1,0.1,0,0.3,0,0,0,0,0,0,0,0
Modern Art,Abstract Expressionism,Hedda Sterne,N.Y. 1 (Road #4),https://uploads2.wikiart.org/images/otto-freundlich/composition-1936.jpg,0,0.071,0.143,0,0.071,0.286,0.286,0,0.071,0,0.071,0,0.214,0.071,0,0.071,0,0.5,0.071,0,0,0,0.286,0,0.071,0.143,0.214,0.071,0.071,0,0,0.071,0.143,0.071,0.071,0,0.071,0.571,0,0,0,0,0.286,0,0.071,0.214,0.071,0,0.143,0.143,0,0.071,0,0.071,0.071,0,0,0.214,0.071,0.071
Modern Art,Impressionism,Berthe Morisot,Child in the Rose Garden,https://uploads5.wikiart.org/images/eyvind-earle/black-silken-hair-1995.jpg,0,0,0.091,0,0,0,0,0,0.818,0.273,0.364,0.091,0,0,0,0,0,0.091,0.182,0,0,0,0.091,0,0,0,0,0,0.636,0.364,0.273,0.182,0,0,0,0,0,0.182,0.182,0,0,0,0.182,0,0,0.091,0,0,0.818,0.182,0.182,0.091,0,0,0,0,0,0.091,0.091,0
Modern Art,Magic Realism,Eyvind Earle,Santa Ynez Oaks,https://uploads8.wikiart.org/images/leo-leuppi/muschel-v-gel-1948.jpg,0,0,0.091,0.091,0,0,0,0,0.364,0.364,0,0.273,0,0,0.091,0,0,0.091,0.273,0,0,0,0.091,0,0,0.091,0,0,0.455,0.364,0,0.273,0,0,0.091,0,0,0,0.091,0,0,0,0.2,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.5,0.1
Contemporary Art,Minimalism,Martin Barre,60-T-18,https://uploads5.wikiart.org/images/chu-teh-chun/clair-d-obscurite-1988.jpg,0.091,0.091,0.273,0.091,0,0.182,0,0.091,0,0.091,0.091,0,0.182,0,0.182,0,0,0.364,0.091,0.182,0.091,0.091,0.182,0.091,0.091,0.182,0.091,0,0.091,0.182,0,0.182,0.091,0.091,0.273,0,0.091,0.364,0.091,0.091,0.182,0.091,0.182,0,0.091,0.182,0,0.091,0,0.091,0,0.091,0,0.091,0.091,0,0.091,0.273,0.091,0.364
Modern Art,Impressionism,Eva Gonzales,The Donkey Ride,https://uploads3.wikiart.org/images/antonio-canova/perseus-with-the-head-of-medusa-1806.jpg,0.154,0,0.077,0.154,0,0,0.077,0.077,0.308,0.385,0.231,0.077,0.077,0,0.308,0,0,0,0.154,0,0.077,0,0.154,0.154,0,0,0,0.077,0.462,0.077,0.231,0.154,0,0,0.308,0,0,0,0.077,0,0,0,0.308,0.077,0,0,0.077,0.077,0.385,0.231,0.154,0.154,0,0,0.077,0,0.077,0.385,0,0
Post Renaissance Art,Realism,Pavel Fedotov,Difficult Bride,https://uploads0.wikiart.org/images/jan-van-eyck/portrait-of-giovanni-arnolfini-1435.jpg,0.1,0,0.1,0.1,0,0,0,0.4,0.4,0.2,0.8,0,0.1,0.1,0.1,0,0,0,0.5,0,0.1,0,0,0,0,0,0.1,0,0.4,0.2,0.8,0.2,0.1,0.1,0.1,0,0,0,0.6,0,0,0,0.2,0.2,0,0.2,0.1,0.1,0.1,0,0.5,0.1,0.2,0.1,0,0,0,0,0.1,0
Modern Art,Impressionism,Giovanni Fattori,Berittener Hirte und K&#252;he,https://uploads4.wikiart.org/images/camille-corot/temple-of-minerva-medica-1826.jpg,0,0,0.083,0,0,0,0,0.167,0.417,0.5,0.167,0.167,0,0,0.167,0,0,0.083,0.417,0,0,0,0.083,0,0,0,0,0.167,0.417,0.5,0.083,0.25,0,0,0.167,0,0,0.083,0.333,0,0.1,0,0.1,0,0,0.1,0,0.1,0.5,0.1,0.2,0,0,0,0,0,0,0.3,0.3,0
Post Renaissance Art,Rococo,Giovanni Battista Tiepolo,A Young Woman With a Macaw,https://uploads0.wikiart.org/images/jean-fouquet/coronation-of-philippe-auguste-1460.jpg,0.2,0,0.1,0.2,0,0,0,0.2,0.4,0.1,0.6,0.3,0,0,0.2,0,0.1,0.1,0.6,0,0.1,0,0.2,0.3,0,0,0,0,0.5,0,0.4,0.2,0,0,0,0,0,0.1,0.6,0,0.1,0,0.3,0.1,0,0,0,0.2,0.5,0.2,0.4,0.1,0,0,0,0,0,0,0.2,0.1
Contemporary Art,Minimalism,Dan Flavin,"Diagonal of Personal Ecstasy (the Diagonal of May 25, 1963, to Constantin Brancusi)",https://uploads7.wikiart.org/images/agostino-carracci/democritus.jpg,0,0,0.5,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0.3,0.2,0.1,0,0,0.6,0,0,0,0,0,0.1,0.1,0,0.2,0,0,0,0,0,0.2,0.1,0.1,0,0,0.7,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0.2,0.1,0
Renaissance Art,Northern Renaissance,Joachim Patinir,Miracle of St. Catherine,https://uploads1.wikiart.org/images/f-lix-del-marle/the-port-1914-1.jpg,0.042,0.083,0.104,0.021,0.125,0.146,0.104,0.146,0.458,0.167,0.083,0.229,0.042,0.021,0.042,0.042,0.021,0.104,0.396,0,0.063,0.063,0.229,0.042,0.125,0.083,0.188,0.125,0.354,0.208,0.042,0.125,0.042,0.042,0.125,0.042,0.021,0.083,0.188,0,0.063,0.021,0.208,0.021,0.021,0.063,0.021,0.146,0.458,0.104,0.167,0.313,0.042,0.042,0.021,0.021,0.021,0.104,0.479,0
Modern Art,Impressionism,Honore Daumier,Don Quixote and Sancho Panza in the Mountains,https://uploads0.wikiart.org/images/hedda-sterne/n-y-1-road-4-1956.jpg,0.1,0,0.1,0,0,0.1,0.2,0,0.3,0.1,0.1,0.1,0,0,0.4,0,0,0,0.2,0,0,0,0.2,0,0,0,0.5,0,0.1,0,0.1,0,0,0,0.3,0,0,0.2,0,0,0.2,0,0.2,0,0,0,0,0,0.4,0,0.1,0.1,0,0,0,0,0,0,0.3,0.1
Renaissance Art,Early Renaissance,Andrea del Castagno,Dante Alighieri,https://uploads0.wikiart.org/images/berthe-morisot/child-in-the-rose-garden.jpg,0.1,0,0.1,0.1,0,0.1,0,0.2,0,0.5,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0,0.2,0,0,0.2,0.1,0.2,0.1,0.2,0.1,0.4,0,0.1,0,0.1,0.1,0,0.1,0,0.3,0,0,0.1,0.3,0,0,0,0,0.3,0.1,0.2,0.1,0.1,0.2,0.1,0,0,0.1,0,0.3,0
Post Renaissance Art,Neoclassicism,Antoine-Jean Gros,Equestrian Portrait of Joachim Murat,https://uploads7.wikiart.org/images/eyvind-earle/santa-ynez-oaks.jpg,0,0,0,0.1,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0.9,0,0,0.1,0.1,0.2,0,0,0,0.1,0,0.2,0,0.1,0,0,0,0,0,0,0.8,0,0,0,0,0.1,0,0,0,0.1,0.1,0.3,0,0.1,0,0,0,0,0,0,0.6,0.1
Post Renaissance Art,Realism,Winslow Homer,The Bathers,https://uploads4.wikiart.org/images/martin-barre/60-t-18-1960.jpg,0.2,0,0.3,0,0,0,0.2,0.2,0.7,0.1,0.4,0.2,0,0,0,0,0.1,0.2,0.1,0,0.2,0,0.3,0,0,0,0.1,0.1,0.6,0.2,0.4,0.2,0,0,0.1,0,0.1,0.2,0.1,0,0,0,0,0.1,0.1,0.2,0,0.1,0.6,0,0.1,0.2,0,0,0,0,0,0,0.1,0
Modern Art,Impressionism,Giuseppe de Nittis,Promenade Hivernale,https://uploads3.wikiart.org/images/eva-gonzales/the-donkey-ride-1880.jpg,0,0,0.182,0.091,0.091,0,0,0.182,0,0.273,0.091,0.091,0,0,0.182,0,0.091,0.182,0.545,0,0,0,0.091,0.182,0.091,0,0,0.182,0,0.091,0.091,0.091,0,0,0.182,0,0,0.091,0.636,0,0,0,0.455,0,0,0,0,0.182,0.182,0.273,0,0.182,0,0,0,0,0,0.273,0.182,0
Post Renaissance Art,Romanticism,Thomas Girtin,Lancaster,https://uploads8.wikiart.org/images/pavel-fedotov/difficult-bride.jpg,0,0,0.185,0,0.015,0,0.015,0.046,0.677,0.215,0.062,0.231,0,0.015,0.031,0,0,0.077,0.185,0,0.031,0,0.108,0.015,0.015,0,0,0.062,0.631,0.215,0.077,0.246,0,0.031,0,0,0,0.062,0.138,0,0,0.015,0.369,0,0.015,0.077,0.015,0,0.215,0.062,0,0.077,0,0,0,0,0.015,0.123,0.185,0.138
Modern Art,Neo-Expressionism,Nathan Oliveira,Standing Woman,https://uploads8.wikiart.org/images/giovanni-fattori/berittener-hirte-und-k-he-1880.jpg,0,0,0.3,0,0,0.2,0.2,0,0.1,0.1,0,0,0,0.2,0.2,0,0,0.5,0.1,0,0,0,0.2,0,0,0,0.3,0,0,0.1,0,0,0.2,0.1,0.2,0,0,0.4,0.1,0,0,0,0.1,0,0,0,0,0.1,0.4,0.3,0.1,0.1,0,0,0,0,0,0.1,0.5,0.1
Modern Art,Art Informel,Fritz Winter,Untitled,https://uploads4.wikiart.org/images/giovanni-battista-tiepolo/a-young-woman-with-a-macaw.jpg,0,0,0.455,0.091,0.273,0,0,0,0,0.091,0,0,0.091,0,0,0,0,0.545,0.091,0,0,0,0.455,0,0.091,0.091,0.091,0.091,0,0.091,0,0,0,0,0,0,0,0.636,0.091,0,0,0,0.455,0,0.182,0.091,0,0,0,0,0,0,0,0,0,0,0,0.182,0,0.273
Modern Art,Abstract Art,Georgia O&#39;Keeffe,Sunrise,https://uploads2.wikiart.org/images/dan-flavin/diagonal-of-personal-ecstasy-the-diagonal-of-may-25-1963-to-constantin-brancusi-1963.jpg,0,0.091,0.091,0,0.091,0,0,0.091,0.455,0.091,0.182,0.364,0,0.091,0,0,0,0.091,0,0,0.091,0.091,0,0,0.182,0,0,0,0.545,0.091,0.091,0.182,0,0.091,0,0,0,0.273,0,0,0,0,0.091,0,0.091,0,0,0.091,0.545,0,0.182,0.273,0,0,0,0,0.091,0.091,0.091,0
Modern Art,Cubism,Amadeo de Souza-Cardoso,Stronghold,https://uploads0.wikiart.org/images/joachim-patinir/miracle-of-st-catherine.jpg,0.091,0,0.364,0.091,0,0.182,0.091,0.091,0.182,0.091,0,0.364,0.091,0,0.091,0,0.091,0.364,0.182,0,0,0,0.364,0,0.091,0.182,0.091,0.091,0.182,0.182,0.091,0.091,0,0,0,0,0.182,0.364,0.091,0,0,0.091,0.364,0,0.091,0,0.364,0.182,0,0.182,0,0.182,0.091,0,0,0,0.091,0,0.364,0
Post Renaissance Art,Romanticism,John Singleton Copley,The Victory of Lord Duncan,https://uploads3.wikiart.org/images/honore-daumier/don-quixote-and-sancho-panza-in-the-mountains.jpg,0,0.182,0.091,0.091,0.091,0,0.182,0.091,0.273,0,0,0.182,0,0,0,0,0,0,0.545,0,0,0.182,0.091,0.091,0.091,0,0.273,0.091,0,0,0,0.273,0,0,0,0,0,0,0.455,0,0,0.091,0.091,0.091,0.091,0,0.091,0.091,0.364,0,0,0.091,0,0,0,0,0,0,0.364,0
Modern Art,Magic Realism,Clarence Holbrook Carter,Pilgrimage #4,https://uploads5.wikiart.org/images/andrea-del-castagno/dante-alighieri.jpg,0.2,0,0.3,0,0,0.2,0,0.1,0.1,0.5,0,0.2,0.1,0.1,0.2,0,0,0.2,0.1,0,0.1,0,0.2,0,0,0.2,0,0.1,0.2,0.5,0,0,0.2,0.1,0.1,0,0,0.2,0,0,0,0,0.5,0.1,0.1,0,0.2,0.3,0.1,0.5,0.2,0.1,0.1,0,0.1,0,0,0.1,0,0
Renaissance Art,Early Renaissance,Jacopo Bellini,Virgin and Child,https://uploads8.wikiart.org/00118/images/antoine-jean-gros/equestrian-portrait-of-joachim-murat-1812.jpg,0.061,0.045,0.045,0.045,0.045,0.03,0.061,0.242,0.424,0.318,0.864,0.197,0.03,0.045,0.091,0.03,0.045,0.121,0.424,0,0.061,0.045,0.061,0.045,0.045,0.03,0.061,0.197,0.348,0.227,0.818,0.182,0.03,0.045,0.106,0.045,0.045,0.061,0.409,0,0.045,0.03,0.091,0.045,0.045,0.03,0.03,0.167,0.439,0.258,0.712,0.197,0.045,0.03,0.045,0.03,0.061,0.045,0.303,0
Modern Art,Cubism,Bela Kadar,Still-life with Chessboard and Pipe,https://uploads4.wikiart.org/images/winslow-homer/the-bathers.jpg,0,0,0.091,0,0,0,0,0,0.455,0.364,0,0,0,0,0,0,0,0.182,0,0.091,0.091,0,0.273,0,0,0,0,0,0.182,0.273,0,0,0,0,0,0,0,0.273,0,0.091,0.091,0,0.091,0,0,0.091,0,0.091,0.091,0.091,0,0.091,0,0,0.182,0,0,0.182,0,0.182
Modern Art,Lyrical Abstraction,Dan Christensen,Nathans Diamond,https://uploads8.wikiart.org/images/giuseppe-de-nittis/promenade-hivernale.jpg,0,0.1,0.2,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0.2,0.5,0.1,0,0,0,0.3,0,0,0.3,0.1,0,0,0,0,0,0,0,0,0,0.2,0.4,0.1,0,0,0,0.4,0,0,0.1,0,0,0.1,0,0.2,0,0,0,0,0,0.1,0.3,0.1,0
Post Renaissance Art,Realism,Vasily Tropinin,The Lacemaker,https://uploads7.wikiart.org/images/thomas-girtin/lancaster-1797.jpg,0.1,0,0,0,0,0,0.1,0.2,0.5,0.6,0.3,0.3,0.1,0,0,0,0,0,0.3,0,0.111,0,0,0.111,0,0,0,0.333,0.667,0.444,0.556,0.111,0,0.111,0.111,0,0,0,0.222,0,0,0.1,0.2,0.1,0,0.1,0,0.2,0.2,0.1,0,0.2,0.1,0.1,0,0,0,0.1,0.2,0.1
Modern Art,Neo-Expressionism,Peter Alexander,Medly,https://uploads5.wikiart.org/images/nathan-oliveira/standing-woman-1961.jpg,0,0.1,0.1,0.1,0.1,0,0.1,0,0.4,0.3,0,0.1,0,0,0.3,0,0,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.4,0.3,0,0,0.1,0,0.2,0,0,0.1,0,0,0,0,0.4,0,0,0,0,0,0.2,0.3,0,0.1,0,0,0,0,0,0,0,0.1
Modern Art,Surrealism,William Baziotes,Untitled,https://uploads5.wikiart.org/images/fritz-winter/untitled-1964.jpg,0,0,0.182,0,0.091,0.182,0.091,0,0.091,0,0.091,0.091,0,0,0,0,0,0.455,0,0,0,0,0.182,0,0.091,0.364,0,0,0.091,0,0.091,0.182,0,0,0,0,0,0.455,0,0,0,0,0.3,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5
Modern Art,Post-Impressionism,J&#243;zef Pankiewicz,Feliks Jasieński Przy Fortepianie,https://uploads3.wikiart.org/images/georgia-o-keeffe/sunrise.jpg,0.1,0,0.2,0,0,0,0,0,0.4,0.3,0,0.2,0.1,0,0.2,0,0,0.1,0.7,0,0.1,0,0.2,0,0.1,0,0,0,0.4,0.2,0,0.2,0,0,0.2,0,0,0.1,0.6,0,0,0,0.625,0,0,0,0,0,0.125,0.25,0,0,0,0,0,0,0,0.125,0.375,0
Modern Art,Abstract Expressionism,Kazuo Nakamura,Hillside,https://uploads0.wikiart.org/images/amadeo-de-souza-cardoso/stronghold-1912.jpg,0.154,0.077,0.231,0.077,0.154,0.077,0,0,0.231,0.154,0,0.462,0.077,0,0.077,0,0.077,0.231,0.077,0,0.077,0,0.154,0.077,0.154,0.077,0,0,0.154,0.154,0,0.154,0.231,0.077,0.154,0,0,0.385,0,0,0.077,0,0.308,0,0,0.154,0,0,0.308,0.154,0.077,0.231,0.077,0,0.077,0,0,0.077,0.077,0
Post Renaissance Art,Baroque,Adriaen van de Venne,Early depiction of a &quot;Dutch telescope&quot;,https://uploads5.wikiart.org/images/john-singleton-copley/the-victory-of-lord-duncan-1799.jpg,0.091,0.091,0.545,0,0,0,0.091,0.091,0.182,0,0.091,0.455,0,0.091,0.091,0,0.091,0.091,0.273,0,0.091,0,0.545,0.182,0,0,0.091,0,0.182,0.182,0.091,0.273,0,0.091,0,0,0,0,0.273,0,0,0.091,0.455,0,0.091,0.091,0,0,0.182,0.091,0,0.182,0,0.091,0.182,0,0.182,0.182,0.091,0
Modern Art,Impressionism,Pierre-Auguste Renoir,Camille Monet and Her Son Jean in the Garden at Argenteuil,https://uploads3.wikiart.org/images/clarence-holbrook-carter/pilgrimage-4-1977.jpg,0,0.1,0.1,0,0,0,0,0.1,0.7,0.5,0.7,0.2,0,0,0.1,0,0,0,0.2,0,0.1,0,0.2,0,0,0,0,0.1,0.8,0.4,0.3,0.2,0,0,0.1,0,0,0,0.3,0,0,0,0.1,0,0,0,0,0.1,0.6,0.2,0.6,0,0,0,0.1,0,0,0,0,0
Modern Art,Cubism,Max Weber,Slide Lecture at the Metropolitan Museum,https://uploads1.wikiart.org/images/jacopo-bellini/virgin-and-child.jpg,0,0,0.5,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,0,0.8,0,0,0,0.1,0.2,0,0.1,0.2,0.2,0,0,0,0,0,0,0.1,0,0,0,0.6,0,0,0,0,0.6,0,0,0.1,0,0,0.3,0.1,0,0,0,0,0,0,0,0.2,0,0
Renaissance Art,Northern Renaissance,Joachim Patinir,Landscape with the destruction of Sodom and Gomorrah,https://uploads3.wikiart.org/images/bela-kadar/still-life-with-chessboard-and-pipe-1920.jpg,0.077,0.231,0.077,0.077,0.308,0.308,0.385,0.154,0.154,0.154,0.077,0.077,0.231,0.077,0.308,0.154,0.077,0.154,0.154,0,0.077,0.077,0.231,0.154,0.154,0.154,0.385,0.077,0.154,0.231,0.077,0.231,0.231,0.077,0.154,0.077,0.077,0.154,0.154,0,0.077,0.308,0.077,0.077,0.308,0.231,0.308,0.154,0.154,0.077,0.077,0.077,0.154,0.077,0.308,0.077,0.077,0.231,0.231,0
Modern Art,Neo-Expressionism,Oleksandr Hnylyzkyj,Stereo Ksyu,https://uploads6.wikiart.org/images/dan-christensen/nathans-diamond-1987.jpg,0.075,0.015,0.194,0.015,0.045,0.015,0.164,0,0.313,0.06,0.03,0.209,0.045,0.03,0.149,0.03,0.06,0.134,0.179,0.015,0.015,0,0.164,0.045,0.06,0.045,0.164,0.045,0.343,0.06,0.06,0.164,0.06,0.015,0.239,0.03,0.119,0.134,0.164,0.015,0.015,0.015,0.333,0.03,0.045,0.076,0.045,0.045,0.167,0.045,0.061,0.121,0.03,0.015,0.015,0.015,0.015,0.197,0.076,0.136
Modern Art,Pop Art,Samuel Buri,Oberland bernois,https://uploads8.wikiart.org/images/vasily-tropinin/the-lacemaker.jpg,0.091,0,0.091,0,0,0,0,0,0.727,0.182,0,0.364,0,0.091,0,0,0,0.091,0,0,0.182,0,0.182,0,0,0,0,0,0.545,0.091,0,0.182,0,0,0,0,0,0.182,0,0,0,0,0.333,0,0,0.222,0,0,0.333,0,0,0,0,0,0,0,0,0,0.111,0.111
Renaissance Art,High Renaissance,Raphael,The School of Athens,https://uploads5.wikiart.org/images/peter-alexander/medly-1976.jpg,0.083,0,0,0,0.083,0,0,0,0.333,0.167,0.167,0.333,0.083,0,0.083,0,0.083,0.25,0.667,0,0,0.083,0.25,0.083,0,0.083,0,0,0.167,0.417,0,0.25,0,0,0,0,0.083,0.167,0.25,0,0.083,0,0,0,0.083,0.083,0,0.083,0.417,0.167,0.083,0.25,0.083,0,0,0,0.167,0.083,0.417,0
Post Renaissance Art,Baroque,Agostino Tassi,Competition on the Capitoline Hill,https://uploads0.wikiart.org/images/william-baziotes/untitled-1930.jpg,0,0,0.286,0,0.071,0,0,0.071,0.143,0.071,0,0.214,0,0,0.071,0.071,0,0,0.571,0,0,0,0.286,0.071,0,0,0,0.071,0.071,0.143,0,0.286,0,0,0.071,0,0,0,0.5,0,0,0.071,0.357,0,0.071,0,0,0,0.071,0.143,0,0.143,0,0,0,0,0,0,0.357,0
Renaissance Art,High Renaissance,Dosso Dossi,A Personification Of Geometry,https://uploads8.wikiart.org/00146/images/jozef-pankiewicz/j-zef-pankiewicz-jasie-ski-przy-fortepianie-1908.jpg,0,0.1,0.2,0.1,0,0.1,0.1,0,0.1,0.2,0,0.1,0.1,0,0.3,0,0,0.2,0.5,0,0,0.1,0.2,0.1,0,0.1,0.1,0,0.2,0,0,0.1,0.1,0.1,0.3,0,0,0.1,0.4,0,0.1,0,0.5,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0.5,0.1,0.1
Modern Art,Surrealism,Andre Masson,The Metamorphosis of the Lovers,https://uploads7.wikiart.org/images/kazuo-nakamura/hillside-1954.jpg,0,0,0.3,0,0.1,0,0.2,0,0.2,0,0.3,0.1,0.1,0,0.1,0,0.1,0.8,0.1,0,0,0,0.2,0.1,0,0,0.3,0,0.1,0,0,0.1,0,0.1,0.2,0,0,0.7,0.1,0,0,0,0.1,0,0.1,0,0.1,0,0.3,0.1,0.8,0,0,0,0,0,0,0,0.1,0
Modern Art,Abstract Expressionism,Richard Pousette-Dart,Illumination Gothic,https://uploads0.wikiart.org/images/adriaen-van-de-venne/early-depiction-of-a-dutch-telescope.jpg,0,0,0.182,0,0,0.182,0.091,0,0.091,0.182,0,0.182,0,0,0.182,0,0,0.455,0.091,0,0,0,0.273,0,0,0.182,0,0.091,0.182,0.091,0,0.091,0,0,0.091,0,0,0.455,0,0,0,0.091,0.273,0,0,0.182,0.091,0,0.091,0.091,0.091,0.182,0,0.091,0,0.091,0,0.182,0.182,0
